availability_365,City,host_id,host_name,id,last_review,latitude,longitude,minimum_nights,name,neighbourhood_cleansed,number_of_reviews,price,room_type
343,Chicago,2613,Rebecca,2384,2024-10-14,41.7879,-87.5878,3,Hyde Park - Walk to University of Chicago,Hyde Park,250,125.00,Private room
275,Chicago,17928,Sarah,7126,2025-02-09,41.90166,-87.68021,2,Tiny Studio Apartment 94 Walk Score,West Town,569,81.00,Entire home/apt
260,Chicago,33004,At Home Inn,10945,2025-01-02,41.91196,-87.63981,4,The Biddle House (#1),Lincoln Park,117,187.00,Entire home/apt
55,Chicago,27506,Lauri,28749,2025-03-09,41.91955,-87.70069,2,Quirky Bucktown Loft w/ Parking No Parties,Logan Square,244,196.00,Entire home/apt
0,Chicago,334241,Michael And Veronica,71930,2024-11-26,41.89615,-87.67934,3,"Rest, Relax and Explore",West Town,129,76.00,Private room
184,Chicago,504470,Mark,94450,2024-10-14,41.9796,-87.66512,3,Comfy Garden Suite in Andersonville,Edgewater,32,109.00,Entire home/apt
359,Chicago,683529,Joe,145659,2024-05-05,41.94342,-87.68121,32,Trendy Roscoe Village 3BR/2BR walk to shops,North Center,77,230.00,Entire home/apt
356,Chicago,683529,Joe,145690,2024-12-02,41.91289,-87.63864,32,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,Lincoln Park,87,240.00,Entire home/apt
196,Chicago,899757,Meighan,189821,2025-02-17,41.92918,-87.70219,3,"Best in Chicago, private, amazing garden space",Logan Square,688,208.00,Entire home/apt
364,Chicago,1019125,Jb,207218,2025-02-01,41.68843,-87.60712,32,Historic Pullman Artist Flat - Monthly Rental,Pullman,320,167.00,Entire home/apt
0,Chicago,1019125,Jb,207351,2024-08-25,41.68954,-87.60786,32,Pullman Art Studio - One Person - Monthly Rental,Pullman,48,73.00,Entire home/apt
365,Chicago,1019125,Jb,220333,2024-07-03,41.68912,-87.60725,32,Pullman School House Apartment - monthly rental,Pullman,6,167.00,Entire home/apt
159,Chicago,1173654,Jillian,225314,2024-08-03,41.92589,-87.69737,2,Cozy & comfy with AC close to California Blue Line,Logan Square,30,86.00,Private room
361,Chicago,7858620,Cynthia,2519442,2024-12-28,41.79606,-87.62382,2,"Warm Cozy Suite, Private Bath, Free Street Parking",Washington Park,128,80.00,Private room
179,Chicago,2850286,Amado,2543231,2022-09-01,41.85669,-87.65132,32,Private room near Downtown,Lower West Side,245,59.00,Private room
161,Chicago,5654677,Urban Art,2564678,2021-09-13,41.85295,-87.70686,32,Even Cowgirls Get The Blues Rm.,South Lawndale,6,45.00,Private room
0,Chicago,13793246,Kristi,2695259,2023-10-22,41.93308,-87.6511,1,Grand Vintage Lincoln Park Penthouse 3 Bedrooms,Lake View,162,,Entire home/apt
206,Chicago,3965428,Paul,2715815,2023-10-19,41.85361,-87.62434,32,Great Location w/Fast Wi-Fi King Bed DESK GYM A+,Near South Side,17,,Entire home/apt
1,Chicago,2539247,Huiri,2748293,2015-05-19,41.86307,-87.62371,179,"Entire Modern 1 BR Condo, Long Term Rental Only",Near South Side,3,75.00,Entire home/apt
